sub          task      run    dummy_scans    fallback_registration    fd_mean              fd_perc              mean_gm_tsnr        scan_start    sdc_method
gutslei0176  sddt      3      0              False                    0.08718344452028984  0.0                  130.8648254846147   0.0           None
gutslei0176  sddt      2      0              False                    0.09081491311094525  0.0                  113.67962785770746  0.0           None
gutslei0172  reward    1      0              False                    0.2735448707692307   13.017751479289942   92.67121545213293   0.0           None
gutslei0172  reward    2      0              False                    0.3022130173372781   15.384615384615385   82.06164144713877   0.0           None
gutslei0172  empmovie  1      0              False                    0.19115809328792305  6.923076923076923    81.0238040852544    0.0           None
gutslei0172  sddt      1      0              False                    0.13093146245960197  1.4925373134328357   109.04747760394744  0.0           None
gutslei0172  sddt      3      0              False                    0.1515747117971014   4.3478260869565215   96.00720881224288   0.0           None
gutslei0172  sddt      2      0              False                    0.19478604279104478  5.970149253731343    93.2803908132566    0.0           None
gutslei0171  reward    1      0              True                     0.21666881969171597  5.325443786982249    26.99464451515002   0.0           None
gutslei0171  empmovie  1      0              False                    0.2084016245699615   2.6923076923076925   85.37907023055376   0.0           None
gutslei0171  reward    2      0              False                    0.2352591497337278   5.9171597633136095   84.78855802943603   0.0           None
gutslei0171  sddt      1      0              False                    0.18521718589552238  1.9900497512437811   80.69895207077967   0.0           None
gutslei0171  sddt      2      0              False                    0.14254175030845767  1.4925373134328357   108.9588229270423   0.0           None
gutslei0171  sddt      3      0              False                    0.15959842308695651  1.4492753623188406   117.8645573576531   0.0           None
gutslei0169  reward    1      0              False                    0.47644075590118345  24.2603550295858     31.6355857289035    0.0           None
gutslei0169  empmovie  1      0              False                    0.32434334943846155  14.615384615384617   65.0537301392949    0.0           None
gutslei0169  reward    2      0              False                    0.5430425225481658   31.360946745562128   58.80373039223863   0.0           None
gutslei0169  sddt      3      0              False                    0.31839957565217386  18.115942028985508   83.82604830235586   0.0           None
gutslei0169  sddt      2      0              False                    0.15126394363930346  1.9900497512437811   102.20570882901075  0.0           None
gutslei0169  sddt      1      0              False                    0.10463750028598405  0.9950248756218906   117.01987351022338  0.0           None
gutslei0168  empmovie  1      0              False                    0.21480466275384613  7.6923076923076925   89.3660326155487    0.0           None
gutslei0168  reward    2      0              False                    1.5355503697159765   69.23076923076923    52.911425112638746  0.0           None
gutslei0168  sddt      1      0              False                    0.203101546920398    5.472636815920398    104.8337970228326   0.0           None
gutslei0168  sddt      3      0              False                    0.2851689205797101   17.391304347826086   104.0212191456199   0.0           None
gutslei0168  sddt      2      0              False                    0.21168156237462687  7.960199004975125    103.3449767282589   0.0           None
gutslei0168  reward    1      0              False                    1.0505470421656804   66.27218934911244    57.71807632779281   0.0           None
gutslei0134  sddt      3      0              False                    0.35673505964492747  20.28985507246377    94.00809906179104   0.0           None
